accountNumber,creditLimit,availableMoney,transactionDateTime,transactionAmount,merchantName,merchantCategoryCode,currentBalance
552158878,5000,5000,2016-01-02T05:35:07,0,Taco Bell #311677,fastfood,0
552158878,5000,5000,2016-01-03T00:53:56,36.45,AMC #191138,entertainment,0
552158878,5000,4963.55,2016-01-03T04:20:12,134.52,EZ Putt Putt #551896,entertainment,36.45
552158878,5000,4829.03,2016-01-03T11:34:22,180.52,AMC #692956,entertainment,170.97
552158878,5000,4648.51,2016-01-05T18:48:00,379.48,Regal Cinemas #05791,entertainment,351.49
552158878,5000,4269.03,2016-01-07T08:13:12,97.87,AMC #552863,entertainment,730.97
552158878,5000,4171.16,2016-01-09T05:25:36,264.81,Regal Cinemas #729464,entertainment,828.84
552158878,5000,3906.35,2016-01-09T10:44:25,106.34,EZ Putt Putt #240241,entertainment,1093.65
552158878,5000,3800.01,2016-01-10T16:45:41,245.62,EZ Putt Putt #240241,entertainment,1199.99
552158878,5000,3554.39,2016-01-10T17:38:22,424.48,EZ Putt Putt #503815,entertainment,1445.61
552158878,5000,3129.91,2016-01-11T01:02:10,80.21,AMC #606218,entertainment,1870.09
552158878,5000,3049.7,2016-01-12T10:50:27,241.39,EZ Putt Putt #755869,entertainment,1950.3
552158878,5000,2808.31,2016-01-13T07:01:17,151.4,AMC #692956,entertainment,2191.69
552158878,5000,2656.91,2016-01-13T08:32:18,209.28,Regal Cinemas #729464,entertainment,2343.09
552158878,5000,2447.63,2016-01-13T09:42:07,83.18,EZ Putt Putt #503815,entertainment,2552.37
552158878,5000,2364.45,2016-01-13T17:03:06,26,AMC #724446,entertainment,2635.55
552158878,5000,2338.45,2016-01-14T01:58:57,72.51,Regal Cinemas #05791,entertainment,2661.55
552158878,5000,2265.94,2016-01-15T01:54:33,140.47,EZ Putt Putt #503815,entertainment,2734.06
552158878,5000,2125.47,2016-01-15T08:50:58,97.88,AMC #74121,entertainment,2874.53
552158878,5000,2027.59,2016-01-17T21:36:57,9.17,EZ Putt Putt #503815,entertainment,2972.41
552158878,5000,2018.42,2016-01-18T07:05:06,1.88,AMC #145832,entertainment,2981.58
552158878,5000,2016.54,2016-01-18T08:24:45,339.56,Domino's Pizza #490157,fastfood,2983.46
552158878,5000,1676.98,2016-01-18T14:46:46,41.41,EZ Putt Putt #503815,entertainment,3323.02
552158878,5000,1635.57,2016-01-18T22:53:59,95.65,AMC #552863,entertainment,3364.43
552158878,5000,1539.92,2016-01-19T01:42:22,9.7,AMC #191138,entertainment,3460.08
552158878,5000,1530.22,2016-01-19T07:12:53,10.06,AMC #692956,entertainment,3469.78
552158878,5000,1520.16,2016-01-19T18:35:34,106.15,Regal Cinemas #276341,entertainment,3479.84
552158878,5000,1414.01,2016-01-20T20:33:49,567.94,AMC #606218,entertainment,3585.99
552158878,5000,846.07,2016-01-21T05:59:51,183.66,AMC #79863,entertainment,4153.93
552158878,5000,662.41,2016-01-23T05:15:51,79.49,Popeyes #295098,fastfood,4337.59
552158878,5000,582.92,2016-01-23T07:57:41,0,EZ Putt Putt #982199,entertainment,4417.08
552158878,5000,582.92,2016-01-23T10:09:04,27.89,AMC #706324,entertainment,4417.08
